"Date","Price","Open","High","Low","Change %"
"Apr 08","0.13260","0.12310","0.13350","0.12210","7.37%"
"Mar 08","0.12350","0.12760","0.13080","0.12080","-3.36%"
"Feb 08","0.12780","0.13320","0.13720","0.12560","-4.20%"
"Jan 08","0.13340","0.14520","0.14940","0.13180","-8.44%"
"Dec 07","0.14570","0.14690","0.15120","0.14100","-0.88%"
"Nov 07","0.14700","0.15370","0.15590","0.14010","-4.36%"
"Oct 07","0.15370","0.14480","0.15540","0.14300","5.64%"
"Sep 07","0.14550","0.13940","0.14630","0.13640","3.93%"
"Aug 07","0.14000","0.13920","0.14370","0.13080","0.07%"
"Jul 07","0.13990","0.14200","0.14800","0.13790","-1.55%"
"Jun 07","0.14210","0.14010","0.14280","0.13530","1.21%"
"May 07","0.14040","0.14110","0.14630","0.13790","-1.20%"
"Apr 07","0.14210","0.13740","0.14540","0.13650","3.27%"
"Mar 07","0.13760","0.13340","0.14000","0.13290","-0.43%"
"Feb 07","0.13820","0.13780","0.13820","0.13780","-0.29%"
"Jan 07","0.13860","0.13810","0.13860","0.13810","-2.81%"
"Dec 06","0.14260","0.14220","0.14260","0.14220","2.00%"
"Nov 06","0.13980","0.13930","0.13980","0.13930","3.10%"
"Oct 06","0.13560","0.13530","0.13560","0.13530","5.28%"
"Sep 06","0.12880","0.12880","0.12880","0.12880","-7.20%"
"Aug 06","0.13880","0.13830","0.13880","0.13830","-3.94%"
"Jul 06","0.14450","0.14440","0.14450","0.14440","3.58%"
"Jun 06","0.13950","0.13940","0.13950","0.13940","-6.06%"
"May 06","0.14850","0.14800","0.14850","0.14800","-10.86%"
"Apr 06","0.16660","0.16650","0.16660","0.16650","2.71%"
"Mar 06","0.16220","0.16170","0.16220","0.16170","0.19%"
"Feb 06","0.16190","0.16130","0.16190","0.16130","-1.94%"
"Jan 06","0.16510","0.16460","0.16510","0.16460","4.49%"
"Dec 05","0.15800","0.15750","0.15800","0.15750","2.13%"
"Nov 05","0.15470","0.15430","0.15470","0.15430","3.69%"
"Oct 05","0.14920","0.14880","0.14920","0.14880","-5.03%"
"Sep 05","0.15710","0.15670","0.15710","0.15670","0.19%"
"Aug 05","0.15680","0.15650","0.15680","0.15650","2.89%"
"Jul 05","0.15240","0.15210","0.15240","0.15210","1.60%"
"Jun 05","0.15000","0.14980","0.15000","0.14980","2.18%"
"May 05","0.14680","0.14630","0.14680","0.14630","-10.71%"
"Apr 05","0.16440","0.16380","0.16440","0.16380","2.69%"
"Mar 05","0.16010","0.16000","0.16010","0.16000","-6.97%"
"Feb 05","0.17210","0.17130","0.17210","0.17130","3.12%"
"Jan 05","0.16690","0.16690","0.16690","0.16690","-5.44%"
